From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (biological process),Gene Ontology (GO),Gene Ontology IDs,Gene Ontology (cellular component),Gene Ontology (molecular function)
PA3240,Q9HZ00,reviewed,Y3240_PSEAE,"Putative quercetin 2,3-dioxygenase PA3240 (Putative quercetinase) (EC 1.13.11.24) (Pirin-like protein PA3240)",PA3240,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),285,,"metal ion binding [GO:0046872]; quercetin 2,3-dioxygenase activity [GO:0008127]",GO:0008127; GO:0046872,,"metal ion binding [GO:0046872]; quercetin 2,3-dioxygenase activity [GO:0008127]"
PA3724,P14756,reviewed,ELAS_PSEAE,Elastase (EC 3.4.24.26) (Neutral metalloproteinase) (PAE) (Pseudolysin) [Cleaved into: Pro-elastase],lasB PA3724,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),498,bacterial-type flagellum-dependent swarming motility [GO:0071978]; protein secretion by the type II secretion system [GO:0015628]; protein transport by the Sec complex [GO:0043952]; proteolysis [GO:0006508]; single-species biofilm formation [GO:0044010],extracellular region [GO:0005576]; endopeptidase activity [GO:0004175]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; bacterial-type flagellum-dependent swarming motility [GO:0071978]; protein secretion by the type II secretion system [GO:0015628]; protein transport by the Sec complex [GO:0043952]; proteolysis [GO:0006508]; single-species biofilm formation [GO:0044010],GO:0004175; GO:0004222; GO:0005576; GO:0006508; GO:0015628; GO:0043952; GO:0044010; GO:0046872; GO:0071978,extracellular region [GO:0005576],endopeptidase activity [GO:0004175]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]
PA3440,Q9HYG6,unreviewed,Q9HYG6_PSEAE,SMc04008-like domain-containing protein,PA3440,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),103,,,,,
PA4047,Q9HWY1,reviewed,RIBA_PSEAE,GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II),ribA PA4047,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),205,riboflavin biosynthetic process [GO:0009231],cytosol [GO:0005829]; GTP binding [GO:0005525]; GTP cyclohydrolase II activity [GO:0003935]; zinc ion binding [GO:0008270]; riboflavin biosynthetic process [GO:0009231],GO:0003935; GO:0005525; GO:0005829; GO:0008270; GO:0009231,cytosol [GO:0005829],GTP binding [GO:0005525]; GTP cyclohydrolase II activity [GO:0003935]; zinc ion binding [GO:0008270]
PA4762,Q9HV42,reviewed,GRPE_PSEAE,Protein GrpE (HSP-70 cofactor),grpE PA4762,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),186,protein folding [GO:0006457],cytosol [GO:0005829]; adenyl-nucleotide exchange factor activity [GO:0000774]; chaperone binding [GO:0051087]; protein homodimerization activity [GO:0042803]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457],GO:0000774; GO:0005829; GO:0006457; GO:0042803; GO:0051082; GO:0051087,cytosol [GO:0005829],adenyl-nucleotide exchange factor activity [GO:0000774]; chaperone binding [GO:0051087]; protein homodimerization activity [GO:0042803]; unfolded protein binding [GO:0051082]
PA0919,Q9I538,unreviewed,Q9I538_PSEAE,Bacterial virulence domain-containing protein,PA0919,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),427,phospholipid homeostasis [GO:0055091],hydrolase activity [GO:0016787]; phospholipid homeostasis [GO:0055091],GO:0016787; GO:0055091,,hydrolase activity [GO:0016787]
PA0144,Q9I6Y8,unreviewed,Q9I6Y8_PSEAE,Nucleoside 2-deoxyribosyltransferase,PA0144,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),208,deoxyribonucleoside monophosphate catabolic process [GO:0009159],deoxyribonucleoside 5'-monophosphate N-glycosidase activity [GO:0070694]; deoxyribonucleoside monophosphate catabolic process [GO:0009159],GO:0009159; GO:0070694,,deoxyribonucleoside 5'-monophosphate N-glycosidase activity [GO:0070694]
PA1683,Q9I342,reviewed,MTNB_PSEAE,Methylthioribulose-1-phosphate dehydratase (MTRu-1-P dehydratase) (EC 4.2.1.109),mtnB PA1683,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),205,L-methionine salvage from methylthioadenosine [GO:0019509]; L-methionine salvage from S-adenosylmethionine [GO:0019284]; monosaccharide metabolic process [GO:0005996],cytoplasm [GO:0005737]; methylthioribulose 1-phosphate dehydratase activity [GO:0046570]; zinc ion binding [GO:0008270]; L-methionine salvage from methylthioadenosine [GO:0019509]; L-methionine salvage from S-adenosylmethionine [GO:0019284]; monosaccharide metabolic process [GO:0005996],GO:0005737; GO:0005996; GO:0008270; GO:0019284; GO:0019509; GO:0046570,cytoplasm [GO:0005737],methylthioribulose 1-phosphate dehydratase activity [GO:0046570]; zinc ion binding [GO:0008270]
PA2057,Q9I258,unreviewed,Q9I258_PSEAE,TonB-dependent receptor,PA2057,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),846,,cell outer membrane [GO:0009279]; outer membrane [GO:0019867],GO:0009279; GO:0019867,cell outer membrane [GO:0009279]; outer membrane [GO:0019867],
PA1291,Q9I453,unreviewed,Q9I453_PSEAE,AB hydrolase-1 domain-containing protein,PA1291,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),279,,membrane [GO:0016020]; lipase activity [GO:0016298],GO:0016020; GO:0016298,membrane [GO:0016020],lipase activity [GO:0016298]
PA2650,Q9I0I8,unreviewed,Q9I0I8_PSEAE,Methyltransferase type 11 domain-containing protein,PA2650,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),269,,methyltransferase activity [GO:0008168],GO:0008168,,methyltransferase activity [GO:0008168]
PA4559,Q9HVM5,reviewed,LSPA_PSEAE,Lipoprotein signal peptidase (EC 3.4.23.36) (LspPae) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II),lspA ls PA4559,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),169,signal peptide processing [GO:0006465],plasma membrane [GO:0005886]; aspartic-type endopeptidase activity [GO:0004190]; signal peptide processing [GO:0006465],GO:0004190; GO:0005886; GO:0006465,plasma membrane [GO:0005886],aspartic-type endopeptidase activity [GO:0004190]
PA5563,Q9HT11,unreviewed,Q9HT11_PSEAE,Chromosome partitioning protein Soj,soj PA5563,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),262,,,,,
PA5258,Q9HTT7,unreviewed,Q9HTT7_PSEAE,Heme biosynthesis operon protein HemX,PA5258,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),376,,membrane [GO:0016020],GO:0016020,membrane [GO:0016020],
PA4015,Q9HX12,unreviewed,Q9HX12_PSEAE,MaoC-like domain-containing protein,PA4015,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),151,,,,,
PA4015,G3XCK8,unreviewed,G3XCK8_PSEAI,(R)-specific enoyl-CoA hydratase (Acyl dehydratase) (Dehydratase) (MaoC family dehydratase (EC 4.2.1.17)),phaJ4 maoC2 CAZ10_26255 CGU42_07305 DT376_04020 GNQ48_15550 IPC1295_14720 NCTC13621_06822 PA52Ts2_5406 PAMH19_1013,Pseudomonas aeruginosa,151,,enoyl-CoA hydratase activity [GO:0004300],GO:0004300,,enoyl-CoA hydratase activity [GO:0004300]
PA1534,Q9I3H9,reviewed,RECR_PSEAE,Recombination protein RecR,recR PA1534,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),198,DNA recombination [GO:0006310]; DNA repair [GO:0006281],DNA binding [GO:0003677]; metal ion binding [GO:0046872]; DNA recombination [GO:0006310]; DNA repair [GO:0006281],GO:0003677; GO:0006281; GO:0006310; GO:0046872,,DNA binding [GO:0003677]; metal ion binding [GO:0046872]
PA1331,Q9I413,unreviewed,Q9I413_PSEAE,CBS domain-containing protein,PA1331,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),515,,plasma membrane [GO:0005886]; flavin adenine dinucleotide binding [GO:0050660],GO:0005886; GO:0050660,plasma membrane [GO:0005886],flavin adenine dinucleotide binding [GO:0050660]
PA1590,P19072,reviewed,BRAB_PSEAE,Branched-chain amino acid transport system 2 carrier protein (LIV-II),braB PA1590,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),437,branched-chain amino acid transport [GO:0015803]; isoleucine transport [GO:0015818]; leucine transport [GO:0015820]; valine transport [GO:0015829],plasma membrane [GO:0005886]; L-isoleucine transmembrane transporter activity [GO:0015188]; L-leucine transmembrane transporter activity [GO:0015190]; L-valine transmembrane transporter activity [GO:0005304]; branched-chain amino acid transport [GO:0015803]; isoleucine transport [GO:0015818]; leucine transport [GO:0015820]; valine transport [GO:0015829],GO:0005304; GO:0005886; GO:0015188; GO:0015190; GO:0015803; GO:0015818; GO:0015820; GO:0015829,plasma membrane [GO:0005886],L-isoleucine transmembrane transporter activity [GO:0015188]; L-leucine transmembrane transporter activity [GO:0015190]; L-valine transmembrane transporter activity [GO:0005304]
PA0560,Q9I5X6,unreviewed,Q9I5X6_PSEAE,YgjP-like metallopeptidase domain-containing protein,PA0560,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),162,,,,,
PA0963,Q51422,reviewed,SYDND_PSEAE,Aspartate--tRNA(Asp/Asn) ligase (EC 6.1.1.23) (Aspartyl-tRNA synthetase) (AspRS) (Non-discriminating aspartyl-tRNA synthetase) (ND-AspRS),aspS PA0963,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),591,aspartyl-tRNA aminoacylation [GO:0006422],cytoplasm [GO:0005737]; aspartate-tRNA ligase activity [GO:0004815]; aspartate-tRNA(Asn) ligase activity [GO:0050560]; ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]; aspartyl-tRNA aminoacylation [GO:0006422],GO:0003676; GO:0004815; GO:0005524; GO:0005737; GO:0006422; GO:0050560,cytoplasm [GO:0005737],aspartate-tRNA ligase activity [GO:0004815]; aspartate-tRNA(Asn) ligase activity [GO:0050560]; ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]
PA5334,P50597,reviewed,RNPH_PSEAE,Ribonuclease PH (RNase PH) (EC 2.7.7.56) (tRNA nucleotidyltransferase),rph PA5334,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),239,rRNA catabolic process [GO:0016075]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033],3'-5'-exoribonuclease activity [GO:0000175]; phosphate-dependent exonuclease activity [GO:0009022]; tRNA binding [GO:0000049]; rRNA catabolic process [GO:0016075]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033],GO:0000049; GO:0000175; GO:0006364; GO:0008033; GO:0009022; GO:0016075,,3'-5'-exoribonuclease activity [GO:0000175]; phosphate-dependent exonuclease activity [GO:0009022]; tRNA binding [GO:0000049]
PA0481,Q9I637,unreviewed,Q9I637_PSEAE,Uncharacterized protein,PA0481,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),147,,,,,
PA0371,Q9I6C3,unreviewed,Q9I6C3_PSEAE,Insulinase family protein,PA0371,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),495,proteolysis [GO:0006508],metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; proteolysis [GO:0006508],GO:0006508; GO:0008233; GO:0046872,,metal ion binding [GO:0046872]; peptidase activity [GO:0008233]
PA4283,Q9HWB7,unreviewed,Q9HWB7_PSEAE,RecBCD enzyme subunit RecD (EC 3.1.11.5) (Exonuclease V subunit RecD) (ExoV subunit RecD) (Helicase/nuclease RecBCD subunit RecD),recD PA4283,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),721,DNA recombination [GO:0006310]; double-strand break repair via homologous recombination [GO:0000724],exodeoxyribonuclease V complex [GO:0009338]; 5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; exodeoxyribonuclease V activity [GO:0008854]; single-stranded DNA helicase activity [GO:0017116]; DNA recombination [GO:0006310]; double-strand break repair via homologous recombination [GO:0000724],GO:0000724; GO:0003677; GO:0005524; GO:0006310; GO:0008854; GO:0009338; GO:0017116; GO:0043139,exodeoxyribonuclease V complex [GO:0009338],5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; exodeoxyribonuclease V activity [GO:0008854]; single-stranded DNA helicase activity [GO:0017116]
PA5503,Q9HT70,reviewed,METN2_PSEAE,Methionine import ATP-binding protein MetN 2 (EC 7.4.2.11),metN2 PA5503,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),335,,plasma membrane [GO:0005886]; ABC-type D-methionine transporter activity [GO:0033232]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],GO:0005524; GO:0005886; GO:0016887; GO:0033232,plasma membrane [GO:0005886],ABC-type D-methionine transporter activity [GO:0033232]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
PA0510,G3XD80,unreviewed,G3XD80_PSEAE,uroporphyrinogen-III C-methyltransferase (EC 2.1.1.107),PA0510,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),279,anaerobic respiration [GO:0009061]; cobalamin biosynthetic process [GO:0009236]; heme biosynthetic process [GO:0006783]; methylation [GO:0032259]; siroheme biosynthetic process [GO:0019354],methyltransferase activity [GO:0008168]; uroporphyrin-III C-methyltransferase activity [GO:0004851]; anaerobic respiration [GO:0009061]; cobalamin biosynthetic process [GO:0009236]; heme biosynthetic process [GO:0006783]; methylation [GO:0032259]; siroheme biosynthetic process [GO:0019354],GO:0004851; GO:0006783; GO:0008168; GO:0009061; GO:0009236; GO:0019354; GO:0032259,,methyltransferase activity [GO:0008168]; uroporphyrin-III C-methyltransferase activity [GO:0004851]
PA0510,P95417,unreviewed,P95417_PSEAI,uroporphyrinogen-III C-methyltransferase (EC 2.1.1.107),nirE cobA cysG1 DT376_23645 GUL26_18015 IPC1295_09180 PAMH19_0564,Pseudomonas aeruginosa,279,anaerobic respiration [GO:0009061]; cobalamin biosynthetic process [GO:0009236]; heme biosynthetic process [GO:0006783]; methylation [GO:0032259]; siroheme biosynthetic process [GO:0019354],methyltransferase activity [GO:0008168]; uroporphyrin-III C-methyltransferase activity [GO:0004851]; anaerobic respiration [GO:0009061]; cobalamin biosynthetic process [GO:0009236]; heme biosynthetic process [GO:0006783]; methylation [GO:0032259]; siroheme biosynthetic process [GO:0019354],GO:0004851; GO:0006783; GO:0008168; GO:0009061; GO:0009236; GO:0019354; GO:0032259,,methyltransferase activity [GO:0008168]; uroporphyrin-III C-methyltransferase activity [GO:0004851]
PA3610,Q9HY16,reviewed,PCABP_PSEAE,Putrescine/cadaverine-binding protein,potD PA3610,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),354,polyamine transport [GO:0015846],periplasmic space [GO:0042597]; polyamine binding [GO:0019808]; polyamine transport [GO:0015846],GO:0015846; GO:0019808; GO:0042597,periplasmic space [GO:0042597],polyamine binding [GO:0019808]
PA4814,Q9HUZ6,unreviewed,Q9HUZ6_PSEAE,"2,4-dienoyl-CoA reductase FadH2",fadH2 PA4814,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),681,"fatty acid beta-oxidation, unsaturated, even number, reductase/isomerase pathway [GO:0033543]","2,4-dienoyl-CoA reductase (NADPH) activity [GO:0008670]; FMN binding [GO:0010181]; fatty acid beta-oxidation, unsaturated, even number, reductase/isomerase pathway [GO:0033543]",GO:0008670; GO:0010181; GO:0033543,,"2,4-dienoyl-CoA reductase (NADPH) activity [GO:0008670]; FMN binding [GO:0010181]"
PA1652,Q9I373,unreviewed,Q9I373_PSEAE,DUF2157 domain-containing protein,PA1652,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),211,,membrane [GO:0016020],GO:0016020,membrane [GO:0016020],
PA1048,Q9I4S6,unreviewed,Q9I4S6_PSEAE,Probable outer membrane protein,PA1048,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),293,,membrane [GO:0016020],GO:0016020,membrane [GO:0016020],
PA1757,Q9I2Y2,reviewed,THRH_PSEAE,Phosphoserine phosphatase ThrH (PSP) (PSPase) (EC 3.1.3.3),thrH PA1757,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),205,dephosphorylation [GO:0016311]; L-serine biosynthetic process [GO:0006564]; tetrahydrofolate biosynthetic process [GO:0046654]; threonine biosynthetic process [GO:0009088],cytoplasm [GO:0005737]; 4-amino-4-deoxychorismate synthase activity [GO:0046820]; L-phosphoserine phosphatase activity [GO:0036424]; magnesium ion binding [GO:0000287]; phosphoserine:homoserine phosphotransferase activity [GO:0043899]; dephosphorylation [GO:0016311]; L-serine biosynthetic process [GO:0006564]; tetrahydrofolate biosynthetic process [GO:0046654]; threonine biosynthetic process [GO:0009088],GO:0000287; GO:0005737; GO:0006564; GO:0009088; GO:0016311; GO:0036424; GO:0043899; GO:0046654; GO:0046820,cytoplasm [GO:0005737],4-amino-4-deoxychorismate synthase activity [GO:0046820]; L-phosphoserine phosphatase activity [GO:0036424]; magnesium ion binding [GO:0000287]; phosphoserine:homoserine phosphotransferase activity [GO:0043899]
PA0410,P43502,reviewed,PILI_PSEAE,Protein PilI,pilI PA0410,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),178,chemotaxis [GO:0006935]; signal transduction [GO:0007165],cytosol [GO:0005829]; chemotaxis [GO:0006935]; signal transduction [GO:0007165],GO:0005829; GO:0006935; GO:0007165,cytosol [GO:0005829],
PA1677,Q9I348,unreviewed,Q9I348_PSEAE,Isochorismatase-like domain-containing protein,PA1677,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),198,,,,,
PA5185,Q9HU04,unreviewed,Q9HU04_PSEAE,Thioesterase domain-containing protein,PA5185,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),147,,acyl-CoA hydrolase activity [GO:0047617],GO:0047617,,acyl-CoA hydrolase activity [GO:0047617]
PA1697,Q9I330,unreviewed,Q9I330_PSEAE,Type 3 secretion system ATPase (EC 7.4.2.8),PA1697,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),440,protein secretion by the type III secretion system [GO:0030254],"cytoplasm [GO:0005737]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; type III protein secretion system complex [GO:0030257]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; protein secretion by the type III secretion system [GO:0030254]",GO:0005524; GO:0005737; GO:0016887; GO:0030254; GO:0030257; GO:0045261; GO:0046933; GO:0046961,"cytoplasm [GO:0005737]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; type III protein secretion system complex [GO:0030257]","ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]"
PA0394,P24562,reviewed,PLPHP_PSEAE,Pyridoxal phosphate homeostasis protein (PLP homeostasis protein),PA0394,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),230,,pyridoxal phosphate binding [GO:0030170],GO:0030170,,pyridoxal phosphate binding [GO:0030170]
PA4482,Q9HVT9,reviewed,GATC_PSEAE,Glutamyl-tRNA(Gln) amidotransferase subunit C (Glu-ADT subunit C) (EC 6.3.5.-),gatC PA4482,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),96,glutaminyl-tRNAGln biosynthesis via transamidation [GO:0070681]; regulation of translational fidelity [GO:0006450]; translation [GO:0006412],asparaginyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050566]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]; glutaminyl-tRNAGln biosynthesis via transamidation [GO:0070681]; regulation of translational fidelity [GO:0006450]; translation [GO:0006412],GO:0005524; GO:0006412; GO:0006450; GO:0050566; GO:0050567; GO:0070681,,asparaginyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050566]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]
PA2222,Q9I1P7,unreviewed,Q9I1P7_PSEAE,DUF3218 domain-containing protein,PA2222,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),215,,,,,
PA0504,Q9I614,reviewed,BIOD_PSEAE,ATP-dependent dethiobiotin synthetase BioD (EC 6.3.3.3) (DTB synthetase) (DTBS) (Dethiobiotin synthase),bioD PA0504,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),228,biotin biosynthetic process [GO:0009102],cytosol [GO:0005829]; ATP binding [GO:0005524]; dethiobiotin synthase activity [GO:0004141]; magnesium ion binding [GO:0000287]; biotin biosynthetic process [GO:0009102],GO:0000287; GO:0004141; GO:0005524; GO:0005829; GO:0009102,cytosol [GO:0005829],ATP binding [GO:0005524]; dethiobiotin synthase activity [GO:0004141]; magnesium ion binding [GO:0000287]
PA4494,Q9HVS7,unreviewed,Q9HVS7_PSEAE,histidine kinase (EC 2.7.13.3),roxS PA4494,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),422,phosphorelay signal transduction system [GO:0000160],plasma membrane [GO:0005886]; phosphorelay sensor kinase activity [GO:0000155]; phosphorelay signal transduction system [GO:0000160],GO:0000155; GO:0000160; GO:0005886,plasma membrane [GO:0005886],phosphorelay sensor kinase activity [GO:0000155]
PA0224,Q9I6R4,unreviewed,Q9I6R4_PSEAE,Probable aldolase,PA0224,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),260,monosaccharide metabolic process [GO:0005996],cytoskeleton [GO:0005856]; actin filament binding [GO:0051015]; monosaccharide metabolic process [GO:0005996],GO:0005856; GO:0005996; GO:0051015,cytoskeleton [GO:0005856],actin filament binding [GO:0051015]
PA2746,Q9I097,unreviewed,Q9I097_PSEAE,DUF805 domain-containing protein,PA2746,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),108,,membrane [GO:0016020],GO:0016020,membrane [GO:0016020],
PA3997,Q9X6V9,reviewed,LIPB_PSEAE,Octanoyltransferase (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase),lipB PA3997,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),217,protein lipoylation [GO:0009249],cytoplasm [GO:0005737]; lipoyl(octanoyl) transferase activity [GO:0033819]; protein lipoylation [GO:0009249],GO:0005737; GO:0009249; GO:0033819,cytoplasm [GO:0005737],lipoyl(octanoyl) transferase activity [GO:0033819]
PA4090,Q9HWT8,unreviewed,Q9HWT8_PSEAE,DUF2218 domain-containing protein,PA4090,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),96,,,,,
PA4333,Q9HW68,unreviewed,Q9HW68_PSEAE,Fumarate hydratase class I (EC 4.2.1.2),PA4333,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),507,generation of precursor metabolites and energy [GO:0006091],"4 iron, 4 sulfur cluster binding [GO:0051539]; fumarate hydratase activity [GO:0004333]; metal ion binding [GO:0046872]; generation of precursor metabolites and energy [GO:0006091]",GO:0004333; GO:0006091; GO:0046872; GO:0051539,,"4 iron, 4 sulfur cluster binding [GO:0051539]; fumarate hydratase activity [GO:0004333]; metal ion binding [GO:0046872]"
PA5472,Q9HT98,unreviewed,Q9HT98_PSEAE,Amino acid abc transporter substrate-binding paat family protein,PA5472,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),266,,,,,
